id,routing_result
0,.begin 52
1,.V 95 0 8
2,.V 106 0 8
3,.V 108 0 8
4,.V 135 0 8
5,.V 142 0 8
6,.V 155 0 8
7,.V 156 8 9
8,.V 166 0 9
9,.H 95 8 156
10,.H 156 9 166
11,.end
12,.begin 37
13,.V 64 0 5
14,.V 73 0 5
15,.H 64 5 73
16,.end
17,.begin 33
18,.V 55 0 17
19,.V 80 0 17
20,.V 82 0 17
21,.H 55 17 82
22,.end
23,.begin 22
24,.V 22 0 13
25,.V 42 0 13
26,.V 44 0 13
27,.H 22 13 44
28,.end
29,.begin 18
30,.V 17 0 12
31,.V 25 0 12
32,.V 27 0 12
33,.H 17 12 27
34,.end
35,.begin 15
36,.V 7 0 12
37,.V 16 0 12
38,.H 7 12 16
39,.end
40,.begin 61
41,.V 126 0 5
42,.V 161 5 6
43,.V 169 6 7
44,.V 170 7 8
45,.V 171 17 35
46,.V 171 8 9
47,.V 172 9 17
48,.H 126 5 161
49,.H 161 6 169
50,.H 169 7 170
51,.H 170 8 171
52,.H 171 9 172
53,.H 171 17 172
54,.end
55,.begin 67
56,.V 137 0 13
57,.V 167 0 13
58,.V 169 17 35
59,.V 170 13 17
60,.H 137 13 170
61,.H 169 17 170
62,.end
63,.begin 70
64,.V 157 0 14
65,.V 168 20 35
66,.V 173 14 20
67,.H 157 14 173
68,.H 168 20 173
69,.end
70,.begin 57
71,.V 116 0 6
72,.V 156 6 7
73,.V 165 17 35
74,.V 168 7 17
75,.H 116 6 156
76,.H 156 7 168
77,.H 165 17 168
78,.end
79,.begin 72
80,.V 160 22 35
81,.V 162 22 35
82,.H 160 22 162
83,.end
84,.begin 71
85,.V 158 25 35
86,.V 164 0 15
87,.V 175 15 25
88,.H 164 15 175
89,.H 158 25 175
90,.end
91,.begin 64
92,.V 133 0 15
93,.V 142 15 16
94,.V 157 23 35
95,.V 159 16 23
96,.H 133 15 142
97,.H 142 16 159
98,.H 157 23 159
99,.end
100,.begin 69
101,.V 144 0 14
102,.V 150 30 35
103,.V 156 14 30
104,.H 144 14 156
105,.H 150 30 156
106,.end
107,.begin 44
108,.V 77 0 10
109,.V 131 10 11
110,.V 146 21 35
111,.V 148 21 35
112,.V 150 11 21
113,.H 77 10 131
114,.H 131 11 150
115,.H 146 21 150
116,.end
117,.begin 68
118,.V 138 0 9
119,.V 138 22 35
120,.V 140 22 35
121,.V 143 22 35
122,.V 150 0 9
123,.V 153 21 22
124,.V 155 9 21
125,.V 173 21 35
126,.H 138 9 155
127,.H 153 21 173
128,.H 138 22 153
129,.end
130,.begin 66
131,.V 137 20 35
132,.V 139 20 35
133,.H 137 20 139
134,.end
135,.begin 65
136,.V 135 23 35
137,.V 153 0 11
138,.V 155 22 23
139,.V 158 11 22
140,.H 153 11 158
141,.H 155 22 158
142,.H 135 23 155
143,.end
144,.begin 63
145,.V 133 22 35
146,.V 136 21 22
147,.V 139 0 4
148,.V 140 20 21
149,.V 146 4 20
150,.V 149 0 3
151,.V 151 3 4
152,.V 161 20 35
153,.V 161 0 4
154,.V 162 4 20
155,.V 163 20 35
156,.V 167 19 20
157,.V 172 19 35
158,.H 149 3 151
159,.H 139 4 146
160,.H 151 4 162
161,.H 167 19 172
162,.H 140 20 167
163,.H 136 21 140
164,.H 133 22 136
165,.end
166,.begin 56
167,.V 113 0 12
168,.V 121 12 13
169,.V 132 21 35
170,.V 135 13 21
171,.H 113 12 121
172,.H 121 13 135
173,.H 132 21 135
174,.end
175,.begin 59
176,.V 123 0 12
177,.V 128 26 35
178,.V 166 12 26
179,.H 123 12 166
180,.H 128 26 166
181,.end
182,.begin 62
183,.V 127 28 35
184,.V 144 27 28
185,.V 148 0 4
186,.V 149 4 27
187,.V 159 0 11
188,.V 166 27 35
189,.V 169 11 12
190,.V 171 12 13
191,.V 174 13 27
192,.H 148 4 149
193,.H 159 11 169
194,.H 169 12 171
195,.H 171 13 174
196,.H 144 27 174
197,.H 127 28 144
198,.end
199,.begin 60
200,.V 126 19 35
201,.V 142 19 35
202,.V 158 0 8
203,.V 161 8 19
204,.H 158 8 161
205,.H 126 19 161
206,.end
207,.begin 58
208,.V 119 25 35
209,.V 153 25 35
210,.V 155 25 35
211,.H 119 25 155
212,.end
213,.begin 53
214,.V 97 0 14
215,.V 118 23 35
216,.V 119 14 23
217,.H 97 14 119
218,.H 118 23 119
219,.end
220,.begin 45
221,.V 78 0 5
222,.V 90 5 6
223,.V 92 25 35
224,.V 112 6 25
225,.H 78 5 90
226,.H 90 6 112
227,.H 92 25 112
228,.end
229,.begin 47
230,.V 86 33 35
231,.V 93 0 7
232,.V 100 0 7
233,.V 112 32 33
234,.V 113 32 35
235,.V 115 32 35
236,.V 117 31 32
237,.V 136 30 31
238,.V 141 29 30
239,.V 151 7 29
240,.H 93 7 151
241,.H 141 29 151
242,.H 136 30 141
243,.H 117 31 136
244,.H 112 32 117
245,.H 86 33 112
246,.end
247,.begin 36
248,.V 63 0 6
249,.V 75 6 7
250,.V 84 25 35
251,.V 87 0 7
252,.V 91 7 25
253,.H 63 6 75
254,.H 75 7 91
255,.H 84 25 91
256,.end
257,.begin 46
258,.V 83 17 35
259,.V 85 17 35
260,.V 92 0 17
261,.V 145 17 35
262,.V 147 0 17
263,.V 147 28 35
264,.V 164 17 28
265,.H 83 17 164
266,.H 147 28 164
267,.end
268,.begin 39
269,.V 65 0 3
270,.V 67 0 3
271,.V 76 3 4
272,.V 82 23 35
273,.V 91 0 4
274,.V 98 23 35
275,.V 100 23 35
276,.V 101 0 4
277,.V 114 4 23
278,.H 65 3 76
279,.H 76 4 114
280,.H 82 23 114
281,.end
282,.begin 43
283,.V 77 25 35
284,.V 81 25 35
285,.H 77 25 81
286,.end
287,.begin 34
288,.V 61 0 14
289,.V 76 30 35
290,.V 96 14 30
291,.H 61 14 96
292,.H 76 30 96
293,.end
294,.begin 42
295,.V 73 24 35
296,.V 114 24 35
297,.V 116 24 35
298,.H 73 24 116
299,.end
300,.begin 41
301,.V 72 23 35
302,.V 74 0 9
303,.V 81 9 23
304,.H 74 9 81
305,.H 72 23 81
306,.end
307,.begin 35
308,.V 62 0 7
309,.V 68 0 7
310,.V 71 18 35
311,.V 73 7 18
312,.V 86 0 18
313,.H 62 7 73
314,.H 71 18 86
315,.end
316,.begin 40
317,.V 69 19 35
318,.V 97 19 35
319,.V 99 19 35
320,.H 69 19 99
321,.end
322,.begin 38
323,.V 65 18 35
324,.V 69 0 18
325,.H 65 18 69
326,.end
327,.begin 29
328,.V 40 0 9
329,.V 58 25 35
330,.V 68 9 10
331,.V 76 10 25
332,.H 40 9 68
333,.H 68 10 76
334,.H 58 25 76
335,.end
336,.begin 32
337,.V 51 17 35
338,.V 53 0 17
339,.H 51 17 53
340,.end
341,.begin 31
342,.V 46 29 35
343,.V 50 28 29
344,.V 66 0 2
345,.V 70 0 2
346,.V 80 28 35
347,.V 81 0 2
348,.V 83 0 2
349,.V 84 2 3
350,.V 88 28 35
351,.V 90 0 3
352,.V 115 3 28
353,.H 66 2 84
354,.H 84 3 115
355,.H 50 28 115
356,.H 46 29 50
357,.end
358,.begin 30
359,.V 43 22 35
360,.V 59 0 15
361,.V 61 15 22
362,.V 64 19 35
363,.V 66 15 19
364,.V 72 0 15
365,.V 78 32 35
366,.V 103 32 35
367,.V 107 15 32
368,.V 111 0 15
369,.V 124 27 35
370,.V 128 0 15
371,.V 132 15 16
372,.V 141 16 27
373,.H 59 15 132
374,.H 132 16 141
375,.H 64 19 66
376,.H 43 22 61
377,.H 124 27 141
378,.H 78 32 107
379,.end
380,.begin 28
381,.V 38 26 35
382,.V 53 25 26
383,.V 57 24 25
384,.V 66 24 35
385,.H 57 24 66
386,.H 53 25 57
387,.H 38 26 53
388,.end
389,.begin 27
